Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 110,ClCC(=O)NC1CCCCC1C,C9H16ClNO,189.68,12,0,0.89,3,1,1,51.06,29.1,1.98,3.04,1.92,1.78,2.03,2.15,-2.73,3.51e-01,1.85e-03,Soluble,-3.32,9.14e-02,4.82e-04,Soluble,-2.5,6.04e-01,3.18e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.3,0,0,0,0,1,0.55,0,1,1,2.35
Molecule 111,ClCC(=O)N1CCCCC1C,C8H14ClNO,175.66,11,0,0.88,2,1,0,50.26,20.31,2.02,1.62,1.25,1.48,1.75,1.62,-1.82,2.67e+00,1.52e-02,Very soluble,-1.66,3.85e+00,2.19e-02,Very soluble,-1.73,3.29e+00,1.87e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.22,0,0,0,0,1,0.55,0,1,1,1.9
Molecule 112,ClCC(=O)N1CC(C)OC(C1)C,C8H14ClNO2,191.66,12,0,0.88,2,2,0,51.35,29.54,2.06,0.84,0.48,0.6,1.22,1.04,-1.43,7.20e+00,3.75e-02,Very soluble,-1.04,1.74e+01,9.05e-02,Very soluble,-1.35,8.52e+00,4.45e-02,Soluble,High,No,No,No,No,No,No,No,-6.87,0,0,0,0,1,0.55,0,1,1,2.58
Molecule 113,ClCC(=O)Nc1ccc(cc1)N1CC(C)OC(C1)C,C14H19ClN2O2,282.77,19,6,0.5,4,2,1,80.89,41.57,2.28,2.34,1.91,1.66,2.13,2.06,-3.04,2.60e-01,9.18e-04,Soluble,-2.85,3.97e-01,1.40e-03,Soluble,-3.91,3.45e-02,1.22e-04,Soluble,High,Yes,No,No,No,No,Yes,No,-6.36,0,0,0,0,0,0.55,1,1,0,2.72
Molecule 114,ClCC(=O)Nc1ccc(cc1C)Cl,C9H9Cl2NO,218.08,13,6,0.22,3,1,1,55.53,29.1,1.99,2.59,2.63,2.71,3,2.58,-2.97,2.35e-01,1.08e-03,Soluble,-2.85,3.08e-01,1.41e-03,Soluble,-4.43,8.12e-03,3.72e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-5.79,0,0,0,0,0,0.55,0,1,1,1.42
Molecule 115,C=CC(=O)NC1CCCN(C1)c1ccc(cc1C)F,C15H19FN2O,262.32,19,6,0.4,4,2,1,77.76,32.34,2.64,2.97,2.44,2.55,2.94,2.71,-3.31,1.29e-01,4.93e-04,Soluble,-3.31,1.28e-01,4.87e-04,Soluble,-4.01,2.58e-02,9.84e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-5.79,0,0,0,0,0,0.55,0,1,0,2.53
Molecule 116,Cn1nc(cc1NC(=O)CCl)C,C7H10ClN3O,187.63,12,5,0.43,3,2,1,47.56,46.92,1.1,0.76,0.71,0.26,0.83,0.73,-1.59,4.80e+00,2.56e-02,Very soluble,-1.33,8.87e+00,4.73e-02,Very soluble,-2.21,1.16e+00,6.21e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.9,0,0,0,0,1,0.55,0,1,1,1.94
Molecule 117,ClCC(=O)Nc1cc(nn1c1ccccc1)C,C12H12ClN3O,249.7,17,11,0.17,4,2,1,67.64,46.92,1.97,2.42,2.17,1.74,2.01,2.06,-3.13,1.86e-01,7.46e-04,Soluble,-3.05,2.24e-01,8.96e-04,Soluble,-4.34,1.14e-02,4.56e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.1,0,0,0,0,0,0.55,0,1,1,2.19
Molecule 118,ClCC(=O)N(c1ccc(cc1)C)C1C=CS(=O)(=O)C1,C13H14ClNO3S,299.77,19,6,0.31,4,3,0,76.22,62.83,1.93,1.68,2.96,1.7,1.63,1.98,-2.73,5.62e-01,1.88e-03,Soluble,-2.61,7.29e-01,2.43e-03,Soluble,-3.42,1.15e-01,3.85e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-6.94,0,0,0,0,0,0.55,0,1,0,3.52
Molecule 119,ClCC(=O)NS(=O)(=O)c1ccc(cc1)C,C9H10ClNO3S,247.7,15,6,0.22,4,3,1,57.11,71.62,1.44,1.74,2.12,1.06,1.24,1.52,-2.5,7.76e-01,3.13e-03,Soluble,-2.86,3.41e-01,1.38e-03,Soluble,-3.74,4.54e-02,1.83e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.58,0,0,0,0,0,0.55,0,1,1,2.21
Molecule 120,N#CCCN(c1ccc(c(c1)C)C)C(=O)CCl,C13H15ClN2O,250.72,17,6,0.38,5,2,0,69.75,44.1,2.29,2.32,2.79,2.29,3.07,2.55,-2.79,4.09e-01,1.63e-03,Soluble,-2.88,3.27e-01,1.30e-03,Soluble,-4.38,1.05e-02,4.18e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.18,0,0,0,0,0,0.55,0,1,0,1.83
Molecule 121,Cc1ccc(cc1NC(=O)CCl)C,C10H12ClNO,197.66,13,6,0.3,3,1,1,55.48,29.1,1.99,2.09,2.29,2.44,2.84,2.33,-2.53,5.89e-01,2.98e-03,Soluble,-2.33,9.22e-01,4.67e-03,Soluble,-4.2,1.26e-02,6.35e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.02,0,0,0,0,1,0.55,0,1,1,1.45
Molecule 122,C=CC(=O)Nc1ccc(c(c1)F)C,C10H10FNO,179.19,13,6,0.1,3,2,1,50.01,29.1,1.97,2.75,2.49,2.48,2.61,2.46,-2.83,2.67e-01,1.49e-03,Soluble,-3.02,1.73e-01,9.64e-04,Soluble,-3.51,5.55e-02,3.10e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.44,0,0,0,0,1,0.55,0,1,1,1.45
Molecule 123,ClCC(=O)Nc1c(C)cccc1C,C10H12ClNO,197.66,13,6,0.3,3,1,1,55.48,29.1,1.85,1.94,2.29,2.44,2.84,2.27,-2.43,7.32e-01,3.70e-03,Soluble,-2.18,1.32e+00,6.68e-03,Soluble,-4.2,1.26e-02,6.35e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.13,0,0,0,0,1,0.55,0,1,1,1.36
Molecule 124,C=CC(=O)N[C@@H]1C[C@H](C1)c1cccc(c1)C,C14H17NO,215.29,16,6,0.36,4,1,1,65.63,29.1,2.6,2.8,2.54,2.51,3.12,2.72,-2.95,2.40e-01,1.12e-03,Soluble,-3.07,1.84e-01,8.55e-04,Soluble,-3.89,2.80e-02,1.30e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-5.63,0,0,0,0,0,0.55,0,1,1,2.26
Molecule 125,N#CCCN(c1cccc(c1C)C)C(=O)CCl,C13H15ClN2O,250.72,17,6,0.38,5,2,0,69.75,44.1,2.24,2.32,2.79,2.29,3.07,2.54,-2.79,4.09e-01,1.63e-03,Soluble,-2.88,3.27e-01,1.30e-03,Soluble,-4.38,1.05e-02,4.18e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.18,0,0,0,0,0,0.55,0,1,0,1.93
Molecule 126,ClCC(=O)Nc1cccc(c1)C,C9H10ClNO,183.63,12,6,0.22,3,1,1,50.52,29.1,1.6,2.3,1.98,2.15,2.35,2.07,-2.6,4.62e-01,2.51e-03,Soluble,-2.55,5.19e-01,2.82e-03,Soluble,-3.81,2.87e-02,1.56e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-5.79,0,0,0,0,1,0.55,0,1,1,1.23
Molecule 127,Cc1c(NC(=O)CCl)cccc1C,C10H12ClNO,197.66,13,6,0.3,3,1,1,55.48,29.1,1.93,1.97,2.29,2.44,2.84,2.29,-2.45,7.01e-01,3.55e-03,Soluble,-2.21,1.23e+00,6.21e-03,Soluble,-4.2,1.26e-02,6.35e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.11,0,0,0,0,1,0.55,0,1,1,1.46
Molecule 128,C=CC(=O)NCCc1oc2c(n1)c(C)ccc2,C13H14N2O2,230.26,17,9,0.23,5,3,1,65.7,55.13,2.52,2.33,1.98,1.29,2.93,2.21,-2.8,3.67e-01,1.59e-03,Soluble,-3.13,1.72e-01,7.47e-04,Soluble,-4.57,6.27e-03,2.72e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.05,0,0,0,0,0,0.55,0,1,1,2.59
Molecule 129,C=CC(=O)N[C@@H]1C[C@H](C1)c1ccccc1C,C14H17NO,215.29,16,6,0.36,4,1,1,65.63,29.1,2.49,2.8,2.54,2.51,3.12,2.69,-2.95,2.40e-01,1.12e-03,Soluble,-3.07,1.84e-01,8.55e-04,Soluble,-3.89,2.80e-02,1.30e-04,Soluble,High,Yes,No,No,No,No,No,No,-5.63,0,0,0,0,0,0.55,0,1,1,2.36
Molecule 130,Cc1cnc(cn1)CCNC(=O)C=C,C10H13N3O,191.23,14,6,0.3,5,3,1,53.72,54.88,1.67,0.09,0.63,-0.33,1.86,0.78,-1.07,1.63e+01,8.52e-02,Very soluble,-0.8,3.05e+01,1.60e-01,Very soluble,-3.3,9.63e-02,5.04e-04,Soluble,High,Yes,No,No,No,No,No,No,-7.4,0,0,0,0,1,0.55,0,1,1,2.14
Molecule 131,C=CC(=O)NCc1nc(C)c2c(n1)cccc2,C13H13N3O,227.26,17,10,0.15,4,3,1,66.42,54.88,2.33,1.68,1.59,0.99,2.63,1.84,-2.48,7.55e-01,3.32e-03,Soluble,-2.45,8.12e-01,3.57e-03,Soluble,-4.57,6.06e-03,2.67e-05,Moderately soluble,High,Yes,No,Yes,No,No,No,No,-6.49,0,0,0,0,0,0.55,0,1,1,1.92
Molecule 132,ClCC(=O)Nc1sc(c(n1)C)C,C7H9ClN2OS,204.68,12,5,0.43,3,2,1,51.15,70.23,1.21,1.89,1.75,0.71,2.99,1.71,-2.41,7.96e-01,3.89e-03,Soluble,-2.99,2.11e-01,1.03e-03,Soluble,-3.1,1.64e-01,8.02e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.21,0,0,0,0,0,0.55,0,1,1,2.6
Molecule 133,C=CC(=O)N1CCC(CC1)c1sc(c(n1)C)C,C13H18N2OS,250.36,17,5,0.54,3,2,0,75.08,61.44,2.83,2.42,2.27,1.41,3.9,2.57,-2.94,2.90e-01,1.16e-03,Soluble,-3.35,1.11e-01,4.44e-04,Soluble,-2.96,2.73e-01,1.09e-03,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.11,0,0,0,0,0,0.55,0,1,0,2.82
Molecule 134,C=CC(=O)NC1CCc2n(C1)nc(n2)C,C10H14N4O,206.24,15,5,0.5,3,3,1,55.66,59.81,1.55,0.74,0.2,0.1,0.68,0.66,-1.63,4.80e+00,2.32e-02,Very soluble,-1.58,5.49e+00,2.66e-02,Very soluble,-1.76,3.62e+00,1.75e-02,Soluble,High,No,No,No,No,No,No,No,-7.03,0,0,0,0,0,0.55,0,1,1,3.14
Molecule 135,ClCC(=O)Nc1oc(c2c1c(=O)[nH]nc2C)C,C10H10ClN3O3,255.66,17,9,0.3,3,4,2,63.67,87.99,1.4,1.17,1.12,0.72,2.49,1.38,-2.36,1.13e+00,4.41e-03,Soluble,-2.61,6.23e-01,2.44e-03,Soluble,-4.25,1.44e-02,5.64e-05,Moderately soluble,High,No,No,Yes,No,No,No,No,-7.03,0,0,0,0,0,0.55,0,1,0,2.85
Molecule 136,CCC(c1ccc(cc1)Cl)NC(=O)CCl,C11H13Cl2NO,246.13,15,6,0.36,5,1,1,63.44,29.1,2.25,3.21,2.82,2.99,3.43,2.94,-3.35,1.09e-01,4.42e-04,Soluble,-3.49,7.90e-02,3.21e-04,Soluble,-4.88,3.24e-03,1.32e-05,Moderately soluble,High,Yes,No,Yes,No,No,Yes,No,-5.52,0,0,0,0,0,0.55,0,1,1,1.9
Molecule 137,CCc1cnc(s1)N1CCN(CC1)C(=O)C=C,C12H17N3OS,251.35,17,5,0.5,4,2,0,77.49,64.68,2.7,2.1,0.78,0.96,2.67,1.84,-2.68,5.31e-01,2.11e-03,Soluble,-3.09,2.05e-01,8.15e-04,Soluble,-2.27,1.36e+00,5.40e-03,Soluble,High,No,No,Yes,Yes,No,No,No,-6.34,0,0,0,0,0,0.55,0,1,0,3.02
Molecule 138,C=CC(=O)NC1(CCCC1)c1noc(n1)CC,C12H17N3O2,235.28,17,5,0.58,5,4,1,62.98,68.02,2.45,1.77,1.6,0.67,2.43,1.78,-2.3,1.18e+00,4.99e-03,Soluble,-2.82,3.59e-01,1.53e-03,Soluble,-3.49,7.63e-02,3.24e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.48,0,0,0,0,0,0.55,0,1,1,3.13
Molecule 139,CCC1N(CCc2c1ccs2)C(=O)CCl,C11H14ClNOS,243.75,15,5,0.55,3,1,0,67.98,48.55,2.38,2.52,2.12,2.1,3.7,2.56,-2.99,2.51e-01,1.03e-03,Soluble,-3.19,1.59e-01,6.52e-04,Soluble,-3.37,1.04e-01,4.27e-04,Soluble,High,Yes,No,No,Yes,No,No,No,-6,0,0,0,0,0,0.55,0,1,1,3.09
Molecule 140,CCCn1[nH]ccc1=NC(=O)CCl,C8H12ClN3O,201.65,13,5,0.5,4,2,1,50.89,50.15,2,1.49,0.89,1.03,2.14,1.51,-2.05,1.80e+00,8.92e-03,Soluble,-2.15,1.43e+00,7.07e-03,Soluble,-2.63,4.69e-01,2.33e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.47,0,0,0,0,0,0.55,0,1,1,2.67
Molecule 141,CCN(C(=O)CCl)C1CCCCC1,C10H18ClNO,203.71,13,0,0.9,4,1,0,55.96,20.31,2.39,2.52,2.41,2.07,2.23,2.32,-2.43,7.63e-01,3.74e-03,Soluble,-2.59,5.20e-01,2.55e-03,Soluble,-2.42,7.74e-01,3.80e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.75,0,0,0,0,0,0.55,0,1,1,1.68
Molecule 142,CCN(C1CCS(=O)(=O)C1)C(=O)CCl,C8H14ClNO3S,239.72,14,0,0.88,4,3,0,55.31,62.83,1.22,0.28,1.34,0.36,0.73,0.78,-1.24,1.38e+01,5.77e-02,Very soluble,-1.16,1.65e+01,6.90e-02,Very soluble,-1.79,3.90e+00,1.63e-02,Soluble,High,Yes,No,No,No,No,No,No,-7.56,0,0,0,0,0,0.55,0,1,1,3.03
Molecule 143,CCN(C(=O)CCl)Cc1ccc(cc1F)C#N,C12H12ClFN2O,254.69,17,6,0.33,5,3,0,63.2,44.1,2.37,2.02,2.55,2.16,3,2.42,-2.62,6.07e-01,2.38e-03,Soluble,-2.57,6.80e-01,2.67e-03,Soluble,-4.27,1.37e-02,5.37e-05,Moderately soluble,High,Yes,No,Yes,Yes,No,No,No,-6.42,0,0,0,0,0,0.55,0,1,0,2.02
Molecule 144,C=CC(=O)N1CC(C1)S(=O)(=O)CC,C8H13NO3S,203.26,13,0,0.62,4,3,0,53.96,62.83,1.37,-0.1,0.52,-0.05,0.25,0.4,-0.77,3.43e+01,1.69e-01,Very soluble,-0.77,3.48e+01,1.71e-01,Very soluble,-0.93,2.37e+01,1.16e-01,Soluble,High,No,No,Yes,No,No,No,No,-7.61,0,0,0,0,0,0.55,0,1,1,2.26
Molecule 145,ClCC(=O)N(c1nc2c(s1)cccc2)C,C10H9ClN2OS,240.71,15,9,0.2,3,2,0,63.63,61.44,2.39,3.43,2.5,1.53,3.03,2.58,-3.74,4.39e-02,1.82e-04,Soluble,-4.4,9.57e-03,3.97e-05,Moderately soluble,-3.67,5.15e-02,2.14e-04,Soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.33,0,0,0,0,0,0.55,0,1,1,2.44
Molecule 146,ClCC(=O)NCc1ccc(cc1)C(=O)N(C)C,C12H15ClN2O2,254.71,17,6,0.33,6,2,1,66.72,49.41,1.78,1.12,1.09,1.58,1.82,1.48,-1.99,2.61e+00,1.02e-02,Very soluble,-1.75,4.52e+00,1.77e-02,Very soluble,-3.89,3.30e-02,1.30e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-7.06,0,0,0,0,0,0.55,0,1,0,1.47
Molecule 147,ClCC(=O)Nc1ccc(cc1)C(=O)N(C)C,C11H13ClN2O2,240.69,16,6,0.27,5,2,1,63.45,49.41,1.71,1.18,1.37,1.58,1.44,1.45,-2.02,2.28e+00,9.48e-03,Soluble,-1.81,3.70e+00,1.54e-02,Very soluble,-3.48,7.88e-02,3.27e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.93,0,0,0,0,0,0.55,0,1,1,1.41
Molecule 148,ClCC(=O)NCC1(CCCCC1)N(C)C,C11H21ClN2O,232.75,15,0,0.91,5,2,1,63.61,32.34,2.34,1.83,1.61,1.47,1.95,1.84,-2.11,1.82e+00,7.84e-03,Soluble,-2.13,1.73e+00,7.42e-03,Soluble,-3.08,1.94e-01,8.32e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.42,0,0,0,0,0,0.55,0,1,1,2.08
Molecule 149,C=CC(=O)N1CCc2c(C1)cc(nn2)N(C)C,C12H16N4O,232.28,17,6,0.42,3,3,0,69.82,49.33,2.06,0.26,0.08,0.9,1.02,0.86,-1.51,7.23e+00,3.11e-02,Very soluble,-0.86,3.23e+01,1.39e-01,Very soluble,-2.33,1.08e+00,4.66e-03,Soluble,High,No,No,No,No,No,No,No,-7.53,0,0,0,0,0,0.55,0,1,1,2.56
Molecule 150,C=CC(=O)Nc1cc(ccc1Cl)S(=O)(=O)N(C)C,C11H13ClN2O3S,288.75,18,6,0.18,5,4,1,70.89,74.86,2,1.3,2.6,1.26,0.91,1.62,-2.37,1.24e+00,4.31e-03,Soluble,-2.47,9.73e-01,3.37e-03,Soluble,-3.49,9.34e-02,3.24e-04,Soluble,High,Yes,No,No,No,No,No,No,-7.14,0,0,0,0,0,0.55,0,1,0,2.5
Molecule 151,ClCC(=O)NCc1ccccc1S(=O)(=O)N(C)C,C11H15ClN2O3S,290.77,18,6,0.36,6,4,1,69.62,74.86,1.36,0.81,1.72,0.8,0.79,1.1,-2,2.88e+00,9.91e-03,Soluble,-1.96,3.16e+00,1.09e-02,Very soluble,-3.85,4.08e-02,1.40e-04,Soluble,High,No,No,No,No,No,No,No,-7.5,0,0,0,0,0,0.55,0,1,0,2.35
Molecule 152,C=CC(=O)N1C[C@H]([C@@H](C1)S(=O)(=O)N(C)C)C(F)(F)F,C10H15F3N2O3S,300.3,19,0,0.7,5,7,0,66.66,66.07,2.05,0.81,2.41,0.17,0.1,1.11,-1.88,3.94e+00,1.31e-02,Very soluble,-1.78,4.99e+00,1.66e-02,Very soluble,-1.17,2.03e+01,6.75e-02,Soluble,High,Yes,No,No,No,No,No,No,-7.56,0,0,0,0,0,0.55,0,1,0,3.75
Molecule 153,ClCC(=O)N(C1CCCCC1)C,C9H16ClNO,189.68,12,0,0.89,3,1,0,51.15,20.31,2.22,2.16,2.02,1.78,1.87,2.01,-2.18,1.26e+00,6.62e-03,Soluble,-2.22,1.15e+00,6.04e-03,Soluble,-2.01,1.85e+00,9.73e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.92,0,0,0,0,1,0.55,0,1,1,1.58
Molecule 154,CN(C(=O)CCl)Cc1ccc(o1)C,C9H12ClNO2,201.65,13,5,0.44,4,2,0,50.95,33.45,2.14,1.34,1.63,0.65,2,1.55,-1.96,2.24e+00,1.11e-02,Very soluble,-1.64,4.58e+00,2.27e-02,Very soluble,-3.1,1.60e-01,7.93e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.58,0,0,0,0,0,0.55,0,1,1,2.24
Molecule 155,ClCC(=O)N(Cc1ccccc1C)C,C11H14ClNO,211.69,14,6,0.36,4,1,0,58.69,20.31,2.16,2.2,2.04,2.45,2.63,2.3,-2.59,5.42e-01,2.56e-03,Soluble,-2.26,1.16e+00,5.49e-03,Soluble,-3.89,2.73e-02,1.29e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.03,0,0,0,0,0,0.55,0,1,1,1.36
Molecule 156,ClCC(=O)Nc1ccc2c(c1)C(=O)N(C2=O)C,C11H9ClN2O3,252.65,17,6,0.18,3,3,1,65.83,66.48,1.14,0.7,0.52,0.95,1.48,0.96,-1.91,3.10e+00,1.23e-02,Very soluble,-1.67,5.36e+00,2.12e-02,Very soluble,-3.48,8.44e-02,3.34e-04,Soluble,High,No,No,Yes,No,No,No,No,-7.34,0,0,0,0,0,0.55,0,2,0,1.79
Molecule 157,C=CC(=O)NCCc1nc2c(n1C)cc(cc2)F,C13H14FN3O,247.27,18,9,0.23,5,3,1,67.67,46.92,2.04,1.74,1.98,1.7,2.44,1.98,-2.51,7.65e-01,3.10e-03,Soluble,-2.34,1.12e+00,4.55e-03,Soluble,-4.01,2.39e-02,9.68e-05,Moderately soluble,High,Yes,No,No,No,No,No,No,-6.57,0,0,0,0,0,0.55,0,1,1,2.22
Molecule 158,C=CC(=O)NCC1c2ccccc2C(=O)N1C,C13H14N2O2,230.26,17,6,0.23,4,2,1,68.06,49.41,1.77,0.89,0.41,1.11,1.57,1.15,-1.83,3.44e+00,1.49e-02,Very soluble,-1.51,7.08e+00,3.07e-02,Very soluble,-3.19,1.49e-01,6.47e-04,Soluble,High,No,No,No,No,No,No,No,-7.07,0,0,0,0,0,0.55,0,1,1,2.4
Molecule 159,C=CC(=O)N1CC(=O)N(C1c1ccccc1)C,C13H14N2O2,230.26,17,6,0.23,3,2,0,71.68,40.62,2.17,1.24,0.09,1.11,1.23,1.17,-2.11,1.78e+00,7.73e-03,Soluble,-1.69,4.69e+00,2.04e-02,Very soluble,-2.35,1.03e+00,4.49e-03,Soluble,High,No,No,No,No,No,No,No,-6.82,0,0,0,0,0,0.55,0,1,1,2.37
Molecule 160,C=CC(=O)N1CCN(C2(C1)COCC2)C,C11H18N2O2,210.27,15,0,0.73,2,3,0,65.23,32.78,2.36,-0.01,-0.66,0.24,0.94,0.57,-1.01,2.08e+01,9.88e-02,Very soluble,-0.23,1.24e+02,5.90e-01,Very soluble,-1.01,2.05e+01,9.77e-02,Soluble,High,No,No,No,No,No,No,No,-7.59,0,1,0,0,0,0.55,0,1,1,3.14
Molecule 161,C=CC(=O)NC[C@@H]1OCCN([C@H]1c1ccccc1)C,C15H20N2O2,260.33,19,6,0.4,5,3,1,78.17,41.57,2.61,1.48,0.66,1.03,1.86,1.53,-2.29,1.33e+00,5.13e-03,Soluble,-1.96,2.85e+00,1.10e-02,Very soluble,-3.36,1.13e-01,4.33e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.84,0,0,0,0,0,0.55,0,1,0,2.96
Molecule 162,C=CC(=O)NCc1nn(c2c1cccc2)C,C12H13N3O,215.25,16,9,0.17,4,2,1,62.91,46.92,2,1.31,1.22,1.16,1.64,1.47,-2.15,1.52e+00,7.05e-03,Soluble,-1.9,2.74e+00,1.27e-02,Very soluble,-3.33,1.00e-01,4.67e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.68,0,0,0,0,0,0.55,0,1,1,1.92
Molecule 163,C=CC(=O)NCc1n(C)nc2c1CCCC2,C12H17N3O,219.28,16,5,0.5,4,2,1,62.84,46.92,2.14,1.2,0.95,1.1,1.99,1.47,-1.92,2.62e+00,1.19e-02,Very soluble,-1.78,3.62e+00,1.65e-02,Very soluble,-2.77,3.77e-01,1.72e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.79,0,0,0,0,0,0.55,0,1,1,2.65
Molecule 164,C=CC(=O)NCc1c(cnn1C)C1CC1,C11H15N3O,205.26,15,5,0.45,5,2,1,57.87,46.92,1.83,0.88,0.88,0.82,1.55,1.19,-1.58,5.35e+00,2.61e-02,Very soluble,-1.45,7.29e+00,3.55e-02,Very soluble,-2.25,1.14e+00,5.57e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.93,0,0,0,0,0,0.55,0,1,1,2.25
Molecule 165,C=CC(=O)Nc1cnn(c1C(F)F)C,C8H9F2N3O,201.17,14,5,0.25,4,4,1,47.2,46.92,1.32,0.66,1.81,0.76,1.1,1.13,-1.5,6.31e+00,3.14e-02,Very soluble,-1.22,1.21e+01,6.01e-02,Very soluble,-1.86,2.80e+00,1.39e-02,Soluble,High,Yes,No,No,No,No,No,No,-7.06,0,0,0,0,0,0.55,0,1,1,2.17
Molecule 166,C=CC(=O)N1Cc2c(C1)cnn2C,C9H11N3O,177.2,13,5,0.33,2,2,0,52.26,38.13,1.69,-0.27,-0.24,0.22,0.66,0.41,-0.92,2.12e+01,1.20e-01,Very soluble,-0.07,1.50e+02,8.48e-01,Very soluble,-1.08,1.48e+01,8.38e-02,Soluble,High,No,No,No,No,No,No,No,-7.57,0,0,0,0,1,0.55,0,1,1,2.05
Molecule 167,C=CC(=O)N[C@@H]1CC(=O)N([C@H]1c1ccnn1C)C,C12H16N4O2,248.28,18,5,0.42,4,3,1,69.53,67.23,1.61,-0.72,-0.71,-0.22,-0.01,-0.01,-0.87,3.37e+01,1.36e-01,Very soluble,-0.22,1.51e+02,6.08e-01,Very soluble,-1.51,7.67e+00,3.09e-02,Soluble,High,No,No,No,No,No,No,No,-8.33,0,1,0,0,0,0.55,0,1,1,3.21
Molecule 168,CNC(=O)C1CCN(CC1)C(=O)CCl,C9H15ClN2O2,218.68,14,0,0.78,4,2,1,58.07,49.41,1.78,0.12,-0.17,0.35,0.88,0.59,-1.01,2.15e+01,9.83e-02,Very soluble,-0.71,4.23e+01,1.93e-01,Very soluble,-1.74,3.99e+00,1.82e-02,Soluble,High,No,No,No,No,No,No,No,-7.55,0,0,0,0,0,0.55,0,1,1,1.7
Molecule 169,C=CC(=O)N1CCCC(C1)n1ccc(n1)C(=O)NC,C13H18N4O2,262.31,19,5,0.46,5,3,1,74.56,67.23,1.92,0.39,0.21,0.32,0.37,0.64,-1.58,6.95e+00,2.65e-02,Very soluble,-1.37,1.12e+01,4.29e-02,Very soluble,-1.69,5.37e+00,2.05e-02,Soluble,High,No,No,No,No,No,No,No,-7.62,0,0,0,0,0,0.55,0,1,0,2.95
Molecule 170,ClCC(=O)Nc1cnn(c1)CC(=O)NC,C8H11ClN4O2,230.65,15,5,0.38,6,3,2,55.21,76.02,0.74,-0.52,-0.38,-0.75,-0.12,-0.21,-0.79,3.71e+01,1.61e-01,Very soluble,-0.61,5.69e+01,2.47e-01,Very soluble,-2.23,1.36e+00,5.87e-03,Soluble,High,No,No,No,No,No,No,No,-8.08,0,0,0,0,0,0.55,0,1,1,2.32
Molecule 171,ClCC(=O)N1N=C(CC1c1ccc(cc1)OC)c1cccs1,C16H15ClN2O2S,334.82,22,11,0.25,5,3,0,96.2,70.14,3.04,3.31,2.59,2.41,4.7,3.21,-4.04,3.05e-02,9.10e-05,Moderately soluble,-4.46,1.16e-02,3.48e-05,Moderately soluble,-5.22,2.02e-03,6.03e-06,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,Yes,-5.99,0,0,0,0,0,0.55,0,1,0,3.5
