Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 66,C=CC(=O)NCc1ccccc1,C10H11NO,161.2,12,6,0.1,4,1,1,48.36,29.1,1.98,1.54,1.34,1.79,2.05,1.74,-1.92,1.96e+00,1.21e-02,Very soluble,-1.76,2.80e+00,1.74e-02,Very soluble,-3.24,9.34e-02,5.79e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.19,0,0,0,0,1,0.55,0,1,1,1.03
Molecule 67,C=CC(=O)NCc1cccnc1N1CCOCC1,C13H17N3O2,247.29,18,6,0.38,5,3,1,71.88,54.46,2.28,0.64,0.19,0.36,1.64,1.02,-1.69,5.01e+00,2.03e-02,Very soluble,-1.36,1.08e+01,4.38e-02,Very soluble,-3.07,2.11e-01,8.55e-04,Soluble,High,No,No,No,No,No,No,No,-7.35,0,0,0,0,0,0.55,0,1,1,2.34
Molecule 68,C=CC(=O)NCc1ccon1,C7H8N2O2,152.15,11,5,0.14,4,3,1,38.42,55.13,1.21,0.11,0.32,-0.43,0.93,0.43,-0.92,1.81e+01,1.19e-01,Very soluble,-0.82,2.29e+01,1.50e-01,Very soluble,-2.07,1.29e+00,8.45e-03,Soluble,High,No,No,No,No,No,No,No,-7.15,0,3,0,0,1,0.55,0,1,1,2.21
Molecule 69,C=CC(=O)NCCc1nc2c(s1)CCCC2,C12H16N2OS,236.33,16,5,0.5,5,2,1,66.27,70.23,2.41,2.23,1.87,1.14,4.02,2.33,-2.61,5.78e-01,2.45e-03,Soluble,-3.34,1.08e-01,4.57e-04,Soluble,-3.67,5.10e-02,2.16e-04,Soluble,High,Yes,No,Yes,Yes,No,No,No,-6.16,0,0,0,0,0,0.55,0,1,1,3.03
Molecule 70,C=CC(=O)NCCc1nnnn1c1ccccc1,C12H13N5O,243.26,18,11,0.17,6,4,1,65.88,72.7,2,1.42,0.51,1.51,1.02,1.29,-2.3,1.22e+00,5.02e-03,Soluble,-2.55,6.83e-01,2.81e-03,Soluble,-3.44,8.73e-02,3.59e-04,Soluble,High,No,No,No,No,No,No,No,-6.78,0,0,0,0,0,0.55,0,1,1,2.35
Molecule 71,C=CC(=O)NCCc1ccc2c(c1)COC2,C13H15NO2,217.26,16,6,0.31,5,2,1,62.07,38.33,2.34,1.31,1.26,1.37,3.06,1.87,-1.96,2.38e+00,1.10e-02,Very soluble,-1.72,4.18e+00,1.93e-02,Very soluble,-3.95,2.43e-02,1.12e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.7,0,0,0,0,0,0.55,0,1,1,1.92
Molecule 72,C=CC(=O)Nc1ccc2c(c1)N(CCS2)C(=O)C,C13H14N2O2S,262.33,18,6,0.23,4,2,1,76.84,74.71,2.19,1.33,1.7,1.64,2.04,1.78,-2.29,1.35e+00,5.16e-03,Soluble,-2.5,8.29e-01,3.16e-03,Soluble,-3.18,1.73e-01,6.59e-04,Soluble,High,No,No,Yes,Yes,No,No,No,-6.96,0,0,0,0,0,0.55,0,1,0,2.82
Molecule 73,C=CC(=O)N1CCCC(C1)NC(=O)C,C10H16N2O2,196.25,14,0,0.6,4,2,1,57.61,49.41,1.81,0.18,-0.08,0.25,0.71,0.57,-0.91,2.44e+01,1.24e-01,Very soluble,-0.78,3.29e+01,1.68e-01,Very soluble,-1.16,1.35e+01,6.90e-02,Soluble,High,No,No,No,No,No,No,No,-7.37,0,0,0,0,1,0.55,0,1,1,2.25
Molecule 74,ClCC(=O)Nc1ccc(cc1)NC(=O)C,C10H11ClN2O2,226.66,15,6,0.2,5,2,2,59.86,58.2,1.19,0.81,1.44,1.3,1.51,1.25,-1.72,4.30e+00,1.90e-02,Very soluble,-1.61,5.51e+00,2.43e-02,Very soluble,-3.81,3.48e-02,1.53e-04,Soluble,High,Yes,No,No,No,No,No,No,-7.11,0,0,0,0,0,0.55,0,1,1,1.35
Molecule 75,ClCC(=O)Nc1onc(c1)C(C)(C)C,C9H13ClN2O2,216.66,14,5,0.56,4,3,1,54.88,55.13,1.38,2.21,1.96,1.29,1.98,1.76,-2.58,5.75e-01,2.66e-03,Soluble,-3,2.16e-01,9.95e-04,Soluble,-3.48,7.22e-02,3.33e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.05,0,0,0,0,0,0.55,0,1,1,2.73
Molecule 76,C=CC(=O)NCc1cccc(n1)OC(C)(C)C,C13H18N2O2,234.29,17,6,0.38,6,3,1,67.1,51.22,2.57,1.88,1.91,1.19,2.39,1.99,-2.34,1.07e+00,4.55e-03,Soluble,-2.58,6.20e-01,2.64e-03,Soluble,-3.83,3.43e-02,1.47e-04,Soluble,High,Yes,No,Yes,No,No,No,No,-6.39,0,0,0,0,0,0.55,0,1,1,2.33
Molecule 77,C=CC(=O)N[C@@H]1CCC(=O)N[C@H]1C(C)(C)C,C12H20N2O2,224.3,16,0,0.67,4,2,2,66.87,58.2,1.93,1.37,0.6,0.83,1.45,1.24,-1.83,3.32e+00,1.48e-02,Very soluble,-2.2,1.43e+00,6.38e-03,Soluble,-2.41,8.69e-01,3.87e-03,Soluble,High,No,No,No,No,No,No,No,-6.7,0,0,0,0,0,0.55,0,1,1,2.89
Molecule 78,C=CC(=O)NC(c1onc(n1)C1CC1)C(C)C,C12H17N3O2,235.28,17,5,0.58,6,4,1,63.1,68.02,2.59,1.82,1.56,0.67,2.2,1.77,-2.27,1.27e+00,5.41e-03,Soluble,-2.87,3.19e-01,1.35e-03,Soluble,-2.79,3.81e-01,1.62e-03,Soluble,High,Yes,No,No,Yes,No,No,No,-6.44,0,0,0,0,0,0.55,0,1,1,3.74
Molecule 79,C=CC(=O)N1C2CCC1c1c(C2)nc(nc1)C(C)C,C15H19N3O,257.33,19,6,0.53,3,3,0,77.7,46.09,2.67,1.91,1.67,1.44,2.55,2.05,-2.67,5.45e-01,2.12e-03,Soluble,-2.5,8.12e-01,3.15e-03,Soluble,-3.13,1.90e-01,7.40e-04,Soluble,High,Yes,No,No,No,No,No,No,-6.51,0,0,0,0,0,0.55,0,1,0,3.9
Molecule 80,ClCC(=O)N(C1CC1)CC(C)C,C9H16ClNO,189.68,12,0,0.89,5,1,0,51.15,20.31,2.31,2.23,1.81,1.78,1.91,2.01,-2.09,1.54e+00,8.11e-03,Soluble,-2.29,9.69e-01,5.11e-03,Soluble,-2.02,1.83e+00,9.66e-03,Soluble,High,Yes,No,No,No,No,No,No,-5.87,0,0,0,0,1,0.55,0,1,1,1.6
Molecule 81,ClCC(=O)N=c1cc[nH]n1CC(C)C,C9H14ClN3O,215.68,14,5,0.56,4,2,1,55.7,50.15,2.24,1.93,1.14,1.34,2.32,1.79,-2.39,8.72e-01,4.04e-03,Soluble,-2.61,5.33e-01,2.47e-03,Soluble,-2.67,4.65e-01,2.16e-03,Soluble,High,Yes,No,Yes,No,No,No,No,-6.25,0,0,0,0,0,0.55,0,1,1,2.77
Molecule 82,ClCC(=O)Nc1ccnn1C(C)C,C8H12ClN3O,201.65,13,5,0.5,4,2,1,52.21,46.92,1.4,1.07,1.45,0.98,0.86,1.15,-1.78,3.31e+00,1.64e-02,Very soluble,-1.65,4.55e+00,2.25e-02,Very soluble,-2.26,1.11e+00,5.51e-03,Soluble,High,Yes,No,No,No,No,No,No,-6.77,0,0,0,0,0,0.55,0,1,1,2.06
Molecule 83,C=CC(=O)N[C@H](C(=O)N1CCCC1)C(C)C,C12H20N2O2,224.3,16,0,0.67,6,2,1,67.22,49.41,2.57,1.51,0.55,0.83,1.51,1.39,-1.79,3.67e+00,1.64e-02,Very soluble,-2.16,1.57e+00,6.99e-03,Soluble,-1.6,5.63e+00,2.51e-02,Soluble,High,Yes,No,No,No,No,No,No,-6.6,0,0,0,0,0,0.55,0,1,1,2.51
Molecule 84,C=CC(=O)NC(Cc1cc(nn1c1ccccc1)C)C,C16H19N3O,269.34,20,11,0.25,6,2,1,80.06,46.92,2.88,2.93,2.41,2.16,2.82,2.64,-3.37,1.16e-01,4.30e-04,Soluble,-3.58,7.13e-02,2.65e-04,Soluble,-4.6,6.73e-03,2.50e-05,Moderately soluble,High,Yes,No,Yes,Yes,Yes,No,No,-5.86,0,0,0,0,0,0.55,0,1,0,2.97
